model,member,coa_per_century,standalone_coa_per_century,nonstandalone_coa_per_century,alpha,en12_std,en34_std,en12_pr_std
MIROC6,r1i1p1f1,9.09,4.85,4.24,-0.524917035583948,0.7288214564323425,0.975029468536377,0.745984906587372
MIROC6,r3i1p1f1,4.24,3.03,1.21,-0.5590522018696731,0.8108124732971191,1.0487987995147705,0.7335054436299825
MIROC6,r2i1p1f1,5.45,3.64,1.82,-0.4626230056410057,0.7890836000442505,1.028390645980835,0.7585411908488479
MPI-ESM-1-2-HAM,r1i1p1f1,9.7,7.27,2.42,-0.1183617117188603,0.75382399559021,0.6573625206947327,0.8936173074405246
MPI-ESM-1-2-HAM,r3i1p1f1,9.09,7.88,1.21,-0.13751385720678064,0.7554357051849365,0.6331473588943481,0.9033910228642497
MPI-ESM-1-2-HAM,r2i1p1f1,7.88,6.67,1.21,-0.17041213113429815,0.7683203220367432,0.7525458335876465,0.8354636213958356
MPI-ESM1-2-HR,r1i1p1f1,5.45,5.45,0.0,-0.1945456688580551,0.4893157482147217,0.7614639401435852,0.9505211739869851
MPI-ESM1-2-HR,r3i1p1f1,4.24,4.24,0.0,-0.15699755132221388,0.4923892319202423,0.7229281067848206,1.0127168505102726
MPI-ESM1-2-HR,r2i1p1f1,1.82,1.82,0.0,-0.0005157952031951647,0.4774783253669739,0.785260021686554,0.9228130244819527
MPI-ESM1-2-LR,r1i1p1f1,4.85,4.24,0.61,-0.2338684264698808,0.6580073833465576,0.6922360062599182,0.6297688235965024
MPI-ESM1-2-LR,r3i1p1f1,7.27,6.06,1.21,-0.20322120671741672,0.6655821800231934,0.7046039700508118,0.6338096473186402
MPI-ESM1-2-LR,r2i1p1f1,6.06,4.85,1.21,-0.21060167117138137,0.6984123587608337,0.7591637969017029,0.6418322689417106
MRI-ESM2-0,r1i1p1f1,3.03,1.82,1.21,-0.2741889354027173,0.6833597421646118,0.9030870199203491,1.1301315273228112
MRI-ESM2-0,r1i2p1f1,3.64,1.82,1.82,-0.41011948634296513,0.6780118346214294,0.9128156900405884,1.113102584141473
MRI-ESM2-0,r2i1p1f1,4.24,3.03,1.21,-0.18024950689399713,0.6331156492233276,0.8597084283828735,1.0587092836239553
NorCPM1,r1i1p1f1,0.61,0.61,0.0,-0.1477484693463042,0.6629566550254822,0.9432092905044556,1.1004570625645222
NorCPM1,r3i1p1f1,1.21,1.21,0.0,-0.17149306081825275,0.6576648950576782,0.9524730443954468,1.1782495098329733
NorCPM1,r2i1p1f1,3.03,3.03,0.0,-0.08344942318265078,0.6681177616119385,0.9170156121253967,1.1218061118964755
NorESM2-LM,r1i1p1f1,9.09,6.06,3.03,-0.24657930190750874,0.715279221534729,1.3525043725967407,0.9070468798352572
NorESM2-LM,r3i1p1f1,5.45,1.82,3.64,-0.21952637215736887,0.772047221660614,1.3094286918640137,0.9376355768848088
NorESM2-LM,r2i1p1f1,5.45,3.03,2.42,-0.22339267204971108,0.7363082766532898,1.2778326272964478,0.855904780501492
NorESM2-MM,r1i1p1f1,5.45,0.61,4.85,-0.17416160169801925,0.9048452377319336,1.284321665763855,0.32986729464124226
NorESM2-MM,r3i1p1f1,7.27,4.85,2.42,-0.24053679389652816,0.7982918620109558,1.121435284614563,0.3568168799973313
NorESM2-MM,r2i1p1f1,4.24,1.82,2.42,-0.19343026791507673,0.9342508316040039,1.2001093626022339,0.4521031297867006
SAM0-UNICON,r1i1p1f1,6.67,3.64,3.03,-0.1892232643252505,0.8432661294937134,0.8337504863739014,0.6076543519428185
TaiESM1,r1i1p1f1,1.21,0.0,1.21,-0.5239494763831734,0.8973044157028198,1.073053002357483,1.1718740042901703
UKESM1-0-LL,r1i1p1f2,0.61,0.0,0.61,-0.20393743584233054,0.6139316558837891,0.9282611608505249,1.1341618925458055
UKESM1-0-LL,r2i1p1f2,1.82,1.21,0.61,-0.18369462399635808,0.6312808990478516,0.9368931651115417,1.159238378818453
UKESM1-0-LL,r3i1p1f2,1.82,0.61,1.21,-0.19741565951345524,0.604798436164856,0.9746119379997253,1.1169526061284873
ERSSTv5,ERSSTv5,3.09,1.8518518518518519,1.2345679012345678,-0.14018129103843704,0.9448704719543457,0.7584691047668457,0.7009177102031251
HadISST,HadISST,4.71,1.1764705882352942,3.5294117647058822,-0.19693817619054674,0.8438904881477356,0.6793375611305237,0.8829224506667849
